選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0601,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,112,01-09週,LI412,林建良,通識中心,55,46,中文,上課時間：01-09週(動科系)
0602,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,112,10-18週,LI412,林建良,通識中心,50,44,中文,上課時間：10-18週(會計系)
0603,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,189,01-09週,U701,珽,通識中心,32,19,中文,上課時間：01-09週(景觀學程)
0604,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,01-09週,A205,謝育龍,通識中心,40,34,中文,上課時間：01-09週(外文系學號01-40)，限文學院加選，加選請洽通識中心
0605,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,10-18週,A205,謝育龍,通識中心,40,25,中文,上課時間：10-18週(外文系學號41以後)，限文學院加選，加選請洽通識中心
0606,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,,LI412,林建良,通識中心,56,50,中文,上課時間：01-09週(物理系A+B班)
0606,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,01-09週,LI412,林建良,通識中心,56,50,中文,上課時間：01-09週(物理系A+B班)
0607,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,10-18週,LI412,林建良,通識中心,50,44,中文,上課時間：10-18週(園藝系)
0608,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,01-09週,SC549,陳宏賓,通識中心,53,48,中文,上課時間：1-9週(生科系學號001-052)
0609,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,10-18週,SC549,陳宏賓,通識中心,53,46,中文,上課時間：10-18週(生科系學號101-151)
0610,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,01-09週,S821,林建良,通識中心,60,57,中文,上課時間：01-09週(食生系)
0611,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,10-18週,S821,林建良,通識中心,60,51,中文,上課時間：10-18週(歷史系)
0612,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,512,01-09週,S821,林建良,通識中心,60,56,中文,上課時間：01-09週(水保系)
0613,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,512,10-18週,S821,林建良,通識中心,56,46,中文,上課時間：10-18週(植病系)
0614,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,01-09週,S821,林建良,通識中心,60,53,中文,上課時間：01-09週(應經系)
0615,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,10-18週,S821,林建良,通識中心,56,48,中文,上課時間：10-18週(土環系)
0616,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,01-09週,S821,謝育龍,通識中心,55,40,中文,上課時間：01-09週(獸醫A班)
0617,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,10-18週,S821,謝育龍,通識中心,56,31,中文,上課時間：10-18週(獸醫B班)
